nome_ingles,grupo_muscular,gif_url
Bench Press,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Bench-Press.gif
Incline Barbell Bench Press,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Incline-Barbell-Bench-Press.gif
Dumbbell Bench Press,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Press-1.gif
Incline Dumbbell Press,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Incline-Dumbbell-Press.gif
Decline Dumbbell Press,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Decline-Dumbbell-Press.gif
Dumbbell Fly,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Fly.gif
Incline Dumbbell Fly,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Incline-dumbbell-Fly.gif
Decline Dumbbell Fly,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/06/Decline-Dumbbell-Fly.gif
Pec Deck Fly,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pec-Deck-Fly.gif
Machine Fly,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/05/10301301-Lever-Pec-Deck-Fly_Chest_720.gif
Cable Crossover,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Crossover.gif
Low Cable Crossover,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Low-Cable-Crossover.gif
High Cable Crossover,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/High-Cable-Crossover.gif
Cable Upper Chest Crossovers,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/10/Cable-Upper-Chest-Crossovers.gif
Single-Arm Cable Crossover,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/10/Single-Arm-Cable-Crossover.gif
One-Arm Cable Chest Press,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/12/One-Arm-Cable-Chest-Press.gif
Dumbbell Pullover,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Pullover.gif
Chest Dips,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/06/Chest-Dips.gif
Assisted Chest Dip,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/06/Assisted-Chest-Dip.gif
Lever Incline Chest Press,Chest,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Incline-Chest-Press.gif
